arm,seed,inject_checkpoint,endpoint_checkpoint,matrix,delta_p,delta_cos,drift_norm,delta_norm,relative_drift_norm,t_cont,phase
post_hoc,0,step2000,step2000,gpt_neox.layers.0.attention.query_key_value.weight,1.0,1.0,0.0100386007255867,0.0100386007255867,0.0003234098504769,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.0.attention.dense.weight,1.0,1.0,0.0092312119155417,0.0092312119155417,0.0011460153495664,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.0.mlp.dense_h_to_4h.weight,1.0,1.0,0.0159028685215417,0.0159028685215417,0.000448670486381,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.0.mlp.dense_4h_to_h.weight,1.0,1.0,0.0241535184086559,0.0241535184086559,0.0014382898372507,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.1.attention.query_key_value.weight,1.0,1.0,0.0113237693239517,0.0113237693239517,0.0003519283402462,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.1.attention.dense.weight,1.0,1.0,0.0107897988934492,0.0107897988934492,0.0013523911915754,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.1.mlp.dense_h_to_4h.weight,1.0,1.0,0.0141817464742452,0.0141817464742452,0.0003829264819693,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.1.mlp.dense_4h_to_h.weight,1.0,1.0,0.0247541534242333,0.0247541534242333,0.0017037265404077,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.2.attention.query_key_value.weight,1.0,1.0,0.0118052652986111,0.0118052652986111,0.0003557545279124,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.2.attention.dense.weight,1.0,1.0,0.0105851291762696,0.0105851291762696,0.0011076441774159,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.2.mlp.dense_h_to_4h.weight,1.0,1.0,0.0140875132778724,0.0140875132778724,0.0003751673014393,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.2.mlp.dense_4h_to_h.weight,1.0,1.0,0.0240101785434215,0.0240101785434215,0.0015352035529202,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.3.attention.query_key_value.weight,1.0,1.0,0.0109803706811982,0.0109803706811982,0.0003414018605883,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.3.attention.dense.weight,1.0,1.0,0.0108940003357144,0.0108940003357144,0.0011234174555951,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.3.mlp.dense_h_to_4h.weight,1.0,1.0,0.0141720762724815,0.0141720762724815,0.0003782936548052,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.3.mlp.dense_4h_to_h.weight,1.0,1.0,0.0242454079744882,0.0242454079744882,0.0014909147529039,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.4.attention.query_key_value.weight,1.0,1.0,0.0104382926171647,0.0104382926171647,0.0002958550431779,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.4.attention.dense.weight,1.0,1.0,0.009248270733993,0.009248270733993,0.0008095155588417,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.4.mlp.dense_h_to_4h.weight,1.0,1.0,0.0141505417369819,0.0141505417369819,0.0003706791818351,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.4.mlp.dense_4h_to_h.weight,1.0,1.0,0.0228260124148258,0.0228260124148258,0.0012381521725172,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.5.attention.query_key_value.weight,1.0,1.0,0.0105276484021823,0.0105276484021823,0.0003070843699528,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.5.attention.dense.weight,1.0,1.0,0.0088632777332727,0.0088632777332727,0.0007697874621978,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.5.mlp.dense_h_to_4h.weight,1.0,1.0,0.0140017100365079,0.0140017100365079,0.0003580977789438,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.5.mlp.dense_4h_to_h.weight,1.0,1.0,0.0224146261859004,0.0224146261859004,0.0011659171363305,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.6.attention.query_key_value.weight,1.0,1.0,0.0103370405789896,0.0103370405789896,0.0003127684679394,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.6.attention.dense.weight,1.0,1.0,0.009731786185284,0.009731786185284,0.001051829174763,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.6.mlp.dense_h_to_4h.weight,1.0,1.0,0.0136445247676819,0.0136445247676819,0.0003440426010449,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.6.mlp.dense_4h_to_h.weight,1.0,1.0,0.0219042022971323,0.0219042022971323,0.0011249391852946,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.7.attention.query_key_value.weight,1.0,1.0,0.0103008478000096,0.0103008478000096,0.0003163755437599,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.7.attention.dense.weight,1.0,1.0,0.0097496755561325,0.0097496755561325,0.00108724664167,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.7.mlp.dense_h_to_4h.weight,1.0,1.0,0.013249609489776,0.013249609489776,0.0003304298997131,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.7.mlp.dense_4h_to_h.weight,1.0,1.0,0.0213768534845353,0.0213768534845353,0.0010767814233758,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.8.attention.query_key_value.weight,1.0,1.0,0.0105592508523047,0.0105592508523047,0.0003204449222593,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.8.attention.dense.weight,1.0,1.0,0.0091590639056068,0.0091590639056068,0.0009040841378361,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.8.mlp.dense_h_to_4h.weight,1.0,1.0,0.0133041508934116,0.0133041508934116,0.0003287413337917,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.8.mlp.dense_4h_to_h.weight,1.0,1.0,0.0213890643771338,0.0213890643771338,0.0010481924975226,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.9.attention.query_key_value.weight,1.0,1.0,0.0108469643945069,0.0108469643945069,0.0003309492102789,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.9.attention.dense.weight,1.0,1.0,0.0094169848801148,0.0094169848801148,0.0009045098271814,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.9.mlp.dense_h_to_4h.weight,1.0,1.0,0.0130226294823428,0.0130226294823428,0.0003190175437024,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.9.mlp.dense_4h_to_h.weight,1.0,1.0,0.0208872152494298,0.0208872152494298,0.0009928389489491,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.10.attention.query_key_value.weight,1.0,1.0,0.0107183208222606,0.0107183208222606,0.0003312123388249,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.10.attention.dense.weight,1.0,1.0,0.009749260244194,0.009749260244194,0.0010398008276645,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.10.mlp.dense_h_to_4h.weight,1.0,1.0,0.0131154784242358,0.0131154784242358,0.0003225793233288,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.10.mlp.dense_4h_to_h.weight,1.0,1.0,0.0206858338943103,0.0206858338943103,0.0009679131713417,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.11.attention.query_key_value.weight,1.0,1.0,0.0109749612682861,0.0109749612682861,0.0003382605425808,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.11.attention.dense.weight,1.0,1.0,0.0103103758792261,0.0103103758792261,0.0010918329149723,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.11.mlp.dense_h_to_4h.weight,1.0,1.0,0.0132199873424761,0.0132199873424761,0.0003357680581289,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.11.mlp.dense_4h_to_h.weight,1.0,1.0,0.021619077131211,0.021619077131211,0.0011050370710081,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.0.attention.query_key_value.weight,1.0,1.0,0.0101399608143685,0.0101399608143685,0.000335496628155,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.0.attention.dense.weight,1.0,1.0,0.0115562556324586,0.0115562556324586,0.0022929614647074,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.0.mlp.dense_h_to_4h.weight,1.0,1.0,0.0160746481540865,0.0160746481540865,0.0004666750353649,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.0.mlp.dense_4h_to_h.weight,1.0,1.0,0.0307362769139131,0.0307362769139131,0.0030710123215912,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.1.attention.query_key_value.weight,1.0,1.0,0.0102924975305661,0.0102924975305661,0.0003357520381188,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.1.attention.dense.weight,1.0,1.0,0.0126476758134243,0.0126476758134243,0.002678964292608,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.1.mlp.dense_h_to_4h.weight,1.0,1.0,0.0150115103853881,0.0150115103853881,0.000426677120974,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.1.mlp.dense_4h_to_h.weight,1.0,1.0,0.0294129139902685,0.0294129139902685,0.0028225946215889,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.2.attention.query_key_value.weight,1.0,1.0,0.0110509495156861,0.0110509495156861,0.0003555375797417,0,snapshot_0
