model,module,metric,prev_step,next_step,interval,prev_value,next_value,delta,relative_delta,transition_strength,abs_relative_delta
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.2,0,1,0->1,4.403548895640339,4.403548895640339,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.2,1,2,1->2,4.403548895640339,4.403421256531901,-0.0001276391084372719,-2.8985509520198563e-05,-2.8985509520198563e-05,2.8985509520198563e-05
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.2,2,4,2->4,4.403421256531901,4.403597741073017,0.000176484541115407,4.007895925323409e-05,4.007895925323409e-05,4.007895925323409e-05
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.2,4,8,4->8,4.403597741073017,4.403519225985247,-7.85150877700147e-05,-1.7829759298328925e-05,-1.7829759298328925e-05,1.7829759298328925e-05
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.2,8,16,8->16,4.403519225985247,4.4035099015359975,-9.324449249170641e-06,-2.1174993841618264e-06,-2.1174993841618264e-06,2.1174993841618264e-06
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.2,16,32,16->32,4.4035099015359975,4.403905283812442,0.0003953822764444226,8.97879839685199e-05,8.97879839685199e-05,8.97879839685199e-05
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.2,32,64,32->64,4.403905283812442,4.403232491144948,-0.0006727926674940932,-0.00015277182957747597,-0.00015277182957747597,0.00015277182957747597
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.2,64,128,64->128,4.403232491144948,4.400188733221264,-0.003043757923683721,-0.0006912553288530941,-0.0006912553288530941,0.0006912553288530941
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.2,128,256,128->256,4.400188733221264,4.352722112450407,-0.04746662077085695,-0.010787405642961382,-0.010787405642961382,0.010787405642961382
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.2,256,512,256->512,4.352722112450407,3.691111993420698,-0.6616101190297092,-0.15199916326776428,-0.15199916326776428,0.15199916326776428
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.2,512,1000,512->1000,3.691111993420698,1.980018063385384,-1.7110939300353138,-0.4635713934133742,-0.4635713934133742,0.4635713934133742
