model,step_num,rows,modules,metrics,layers
EleutherAI/pythia-1b-deduped,0,704,4,11,16
EleutherAI/pythia-1b-deduped,1,768,4,12,16
EleutherAI/pythia-1b-deduped,2,768,4,12,16
EleutherAI/pythia-1b-deduped,4,768,4,12,16
EleutherAI/pythia-1b-deduped,8,768,4,12,16
EleutherAI/pythia-1b-deduped,16,768,4,12,16
EleutherAI/pythia-1b-deduped,32,768,4,12,16
EleutherAI/pythia-1b-deduped,64,768,4,12,16
EleutherAI/pythia-1b-deduped,128,768,4,12,16
EleutherAI/pythia-1b-deduped,256,768,4,12,16
EleutherAI/pythia-1b-deduped,512,768,4,12,16
EleutherAI/pythia-1b-deduped,1000,768,4,12,16
EleutherAI/pythia-1b-deduped,2000,768,4,12,16
EleutherAI/pythia-1b-deduped,3000,768,4,12,16
EleutherAI/pythia-1b-deduped,4000,768,4,12,16
EleutherAI/pythia-1b-deduped,5000,768,4,12,16
EleutherAI/pythia-1b-deduped,6000,768,4,12,16
EleutherAI/pythia-1b-deduped,7000,768,4,12,16
EleutherAI/pythia-1b-deduped,8000,768,4,12,16
