model,module,metric,prev_step,next_step,interval,prev_value,next_value,delta,relative_delta,transition_strength,abs_relative_delta
EleutherAI/pythia-410m-deduped,attention.dense,alpha_tail_frac_0.2,0,1,0->1,4.347260270896369,4.347260270896369,0.0,0.0,0.0,0.0
EleutherAI/pythia-410m-deduped,attention.dense,alpha_tail_frac_0.2,1,2,1->2,4.347260270896369,4.3472449790499885,-1.5291846380272034e-05,-3.5175824375280536e-06,-3.5175824375280536e-06,3.5175824375280536e-06
EleutherAI/pythia-410m-deduped,attention.dense,alpha_tail_frac_0.2,2,4,2->4,4.3472449790499885,4.3471584394366225,-8.653961336602123e-05,-1.9906771710140196e-05,-1.9906771710140196e-05,1.9906771710140196e-05
EleutherAI/pythia-410m-deduped,attention.dense,alpha_tail_frac_0.2,4,8,4->8,4.3471584394366225,4.347154573960838,-3.865475784792238e-06,-8.89195974484036e-07,-8.89195974484036e-07,8.89195974484036e-07
EleutherAI/pythia-410m-deduped,attention.dense,alpha_tail_frac_0.2,8,16,8->16,4.347154573960838,4.347084177902635,-7.03960582031371e-05,-1.6193594454816154e-05,-1.6193594454816154e-05,1.6193594454816154e-05
EleutherAI/pythia-410m-deduped,attention.dense,alpha_tail_frac_0.2,16,32,16->32,4.347084177902635,4.346893020446311,-0.00019115745632358738,-4.3973718589404534e-05,-4.3973718589404534e-05,4.3973718589404534e-05
EleutherAI/pythia-410m-deduped,attention.dense,alpha_tail_frac_0.2,32,64,32->64,4.346893020446311,4.346004129422949,-0.0008888910233624259,-0.00020448881975727938,-0.00020448881975727938,0.00020448881975727938
EleutherAI/pythia-410m-deduped,attention.dense,alpha_tail_frac_0.2,64,128,64->128,4.346004129422949,4.341273762144994,-0.004730367277954173,-0.0010884405852097454,-0.0010884405852097454,0.0010884405852097454
EleutherAI/pythia-410m-deduped,attention.dense,alpha_tail_frac_0.2,128,256,128->256,4.341273762144994,4.286413877047706,-0.05485988509728834,-0.012636817695221736,-0.012636817695221736,0.012636817695221736
EleutherAI/pythia-410m-deduped,attention.dense,alpha_tail_frac_0.2,256,512,256->512,4.286413877047706,3.455620831616384,-0.8307930454313222,-0.19382007180401864,-0.19382007180401864,0.19382007180401864
