model,interval,prev_step,next_step,mean_transition_strength,median_transition_strength,mean_abs_relative_delta,n
EleutherAI/pythia-410m-deduped,512->1000,512,1000,45138888890.13794,0.196461002592685,45138888890.24349,48
EleutherAI/pythia-410m-deduped,256->512,256,512,28645833334.717045,0.015477362606009175,28645833334.743206,48
EleutherAI/pythia-410m-deduped,128->256,128,256,8680555555.830002,0.0006326268078369613,8680555555.832163,48
EleutherAI/pythia-410m-deduped,64->128,64,128,1736111111.1555989,2.33925980924138e-05,1736111111.1559238,48
EleutherAI/pythia-410m-deduped,1000->2000,1000,2000,1.213427500196944,0.15282927676367225,1.2969631339653473,48
EleutherAI/pythia-410m-deduped,2000->3000,2000,3000,0.08146155983742777,0.026870246398008148,0.24493758119073483,48
EleutherAI/pythia-410m-deduped,3000->4000,3000,4000,0.060749324374328485,0.01990659639100062,0.11276204044302153,48
EleutherAI/pythia-410m-deduped,4000->5000,4000,5000,0.037877846997075644,0.021182989460949188,0.07433822142434127,48
EleutherAI/pythia-410m-deduped,5000->6000,5000,6000,0.026085484772729983,0.019321964817643117,0.05332330610083414,48
EleutherAI/pythia-410m-deduped,6000->7000,6000,7000,0.02201978983528069,0.012911915769525112,0.035433022010146115,48
EleutherAI/pythia-410m-deduped,7000->8000,7000,8000,0.01660097679363411,0.011400112836399742,0.028135400385560557,48
EleutherAI/pythia-410m-deduped,32->64,32,64,0.01094900575299589,0.0,0.011039093984045414,48
EleutherAI/pythia-410m-deduped,16->32,16,32,0.00704067374123836,5.972267893602708e-07,0.0070610568004909925,48
EleutherAI/pythia-410m-deduped,8->16,8,16,2.5351522752680327e-05,3.879332514610998e-08,2.872645066268891e-05,48
EleutherAI/pythia-410m-deduped,4->8,4,8,1.8945764138708377e-06,0.0,5.3607158734580564e-06,48
EleutherAI/pythia-410m-deduped,0->1,0,1,0.0,0.0,0.0,44
EleutherAI/pythia-410m-deduped,2->4,2,4,-6.52397731933426e-07,0.0,3.040726642554349e-06,48
EleutherAI/pythia-410m-deduped,1->2,1,2,-1.1490261245344812e-06,0.0,3.9498056829492825e-06,48
