model,stage,step,seed,metric,value
EleutherAI/pythia-160m-deduped,step512,512,0,base_probe_accuracy,0.2
EleutherAI/pythia-160m-deduped,step512,512,0,post_injection_accuracy,0.63
EleutherAI/pythia-160m-deduped,step512,512,0,uptake_accuracy_delta,0.43
EleutherAI/pythia-160m-deduped,step512,512,0,base_probe_mean_margin,-1.3444416809082032
EleutherAI/pythia-160m-deduped,step512,512,0,post_injection_mean_margin,0.2618079686164856
EleutherAI/pythia-160m-deduped,step512,512,0,uptake_margin_delta,1.6062496495246887
EleutherAI/pythia-160m-deduped,step512,512,0,normalized_retention_margin,0.5345574205746496
EleutherAI/pythia-160m-deduped,step512,512,0,normalized_retention_accuracy,0.3953488372093023
EleutherAI/pythia-160m-deduped,step512,512,0,k_star_accuracy_threshold,50.0
EleutherAI/pythia-160m-deduped,step512,512,0,degradation_auc_accuracy,117.41
EleutherAI/pythia-160m-deduped,step512,512,0,degradation_auc_margin,-36.827345222234726
EleutherAI/pythia-160m-deduped,step512,512,1,base_probe_accuracy,0.185
EleutherAI/pythia-160m-deduped,step512,512,1,post_injection_accuracy,0.545
EleutherAI/pythia-160m-deduped,step512,512,1,uptake_accuracy_delta,0.36
EleutherAI/pythia-160m-deduped,step512,512,1,base_probe_mean_margin,-1.3309267902374269
EleutherAI/pythia-160m-deduped,step512,512,1,post_injection_mean_margin,0.2519332718849182
EleutherAI/pythia-160m-deduped,step512,512,1,uptake_margin_delta,1.5828600621223448
EleutherAI/pythia-160m-deduped,step512,512,1,normalized_retention_margin,0.5895517475880379
EleutherAI/pythia-160m-deduped,step512,512,1,normalized_retention_accuracy,0.5138888888888888
EleutherAI/pythia-160m-deduped,step512,512,1,k_star_accuracy_threshold,48.0
EleutherAI/pythia-160m-deduped,step512,512,1,degradation_auc_accuracy,120.11
EleutherAI/pythia-160m-deduped,step512,512,1,degradation_auc_margin,-16.62852158844471
EleutherAI/pythia-160m-deduped,step2000,2000,0,base_probe_accuracy,0.23
EleutherAI/pythia-160m-deduped,step2000,2000,0,post_injection_accuracy,0.48
