experiment_id,model,stage,step,seed,timestamp,poison_budget,probe_accuracy,probe_mean_margin,probe_mean_nll,poison_train_steps
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T15:55:14+0000,0,0.285,-0.8996185982227325,6.312656637430191,0
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T15:55:14+0000,4,0.26,-0.7761479067802429,5.651561814546585,1
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T15:55:14+0000,16,0.265,-0.8895200955867767,6.075618448257447,3
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T15:55:14+0000,64,0.27,-1.0615279543399812,6.706563400030136,12
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T15:55:14+0000,256,0.235,-0.9699864077568054,5.599278472661972,48
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step0,0,1,2026-06-04T15:57:31+0000,0,0.34,-0.7264386653900147,5.741684577465057,0
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step0,0,1,2026-06-04T15:57:31+0000,4,0.355,-0.7622684133052826,5.807040168046951,1
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step0,0,1,2026-06-04T15:57:31+0000,16,0.335,-0.7313665461540222,5.5814729034900665,3
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step0,0,1,2026-06-04T15:57:31+0000,64,0.3,-0.9678127181529999,5.9045230281353,12
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step0,0,1,2026-06-04T15:57:31+0000,256,0.25,-0.9004512238502502,5.468486691713333,48
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step0,0,2,2026-06-04T15:59:42+0000,0,0.33,-0.6452531969547272,5.616150286197662,0
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step0,0,2,2026-06-04T15:59:42+0000,4,0.325,-0.6233507764339447,5.557785357236862,1
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step0,0,2,2026-06-04T15:59:42+0000,16,0.31,-0.6793934345245362,5.6994735670089725,3
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step0,0,2,2026-06-04T15:59:42+0000,64,0.22,-0.9711422049999237,6.040777559280396,12
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step0,0,2,2026-06-04T15:59:42+0000,256,0.285,-0.9175739300251007,5.573673408031464,48
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step128,128,0,2026-06-04T16:01:59+0000,0,0.295,-0.6123753964900971,5.070968135595321,0
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step128,128,0,2026-06-04T16:01:59+0000,4,0.305,-0.6415284621715546,4.920462299585342,1
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step128,128,0,2026-06-04T16:01:59+0000,16,0.285,-0.6812414705753327,5.0769362795352935,3
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step128,128,0,2026-06-04T16:01:59+0000,64,0.29,-0.7715967679023743,5.0253538370132445,12
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step128,128,0,2026-06-04T16:01:59+0000,256,0.24,-0.8226988101005555,4.829010586738587,48
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step128,128,1,2026-06-04T16:04:11+0000,0,0.305,-0.6201366627216339,5.196590764522552,0
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step128,128,1,2026-06-04T16:04:11+0000,4,0.315,-0.614516030550003,5.180361119508743,1
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step128,128,1,2026-06-04T16:04:11+0000,16,0.285,-0.5963004982471466,4.859481407403946,3
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step128,128,1,2026-06-04T16:04:11+0000,64,0.265,-0.840571061372757,5.453261594772339,12
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step128,128,1,2026-06-04T16:04:11+0000,256,0.27,-0.7536984169483185,4.893314645290375,48
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step128,128,2,2026-06-04T16:06:29+0000,0,0.345,-0.37009516000747683,4.5649588227272035,0
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step128,128,2,2026-06-04T16:06:29+0000,4,0.345,-0.4008936810493469,4.620273889303207,1
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step128,128,2,2026-06-04T16:06:29+0000,16,0.34,-0.43873990774154664,4.572348918914795,3
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step128,128,2,2026-06-04T16:06:29+0000,64,0.315,-0.6596232795715332,4.619002559185028,12
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step128,128,2,2026-06-04T16:06:29+0000,256,0.31,-0.7278714370727539,4.50095181107521,48
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step512,512,0,2026-06-04T16:08:46+0000,0,0.475,-0.17377639174461365,3.9875573241710662,0
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step512,512,0,2026-06-04T16:08:46+0000,4,0.46,-0.21424530684947968,3.8447568303346635,1
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step512,512,0,2026-06-04T16:08:46+0000,16,0.41,-0.2850387763977051,3.732426393032074,3
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step512,512,0,2026-06-04T16:08:46+0000,64,0.37,-0.41482531249523164,3.537716934084892,12
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step512,512,0,2026-06-04T16:08:46+0000,256,0.35,-0.5320440083742142,3.494164852499962,48
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step512,512,1,2026-06-04T16:11:00+0000,0,0.45,-0.10896674275398255,3.782341270446777,0
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step512,512,1,2026-06-04T16:11:00+0000,4,0.435,-0.12652271270751952,3.747721929550171,1
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step512,512,1,2026-06-04T16:11:00+0000,16,0.415,-0.19109936237335204,3.5526343214511873,3
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step512,512,1,2026-06-04T16:11:00+0000,64,0.34,-0.4576234275102615,3.4749511277675627,12
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step512,512,1,2026-06-04T16:11:00+0000,256,0.37,-0.3613365334272385,3.271176469922066,48
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step512,512,2,2026-06-04T16:13:18+0000,0,0.52,0.022082956433296205,3.6450941014289855,0
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step512,512,2,2026-06-04T16:13:18+0000,4,0.53,0.054599044919013975,3.5336547642946243,1
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step512,512,2,2026-06-04T16:13:18+0000,16,0.5,-0.07205456852912903,3.45793460726738,3
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step512,512,2,2026-06-04T16:13:18+0000,64,0.395,-0.3456279653310776,3.33473297894001,12
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step512,512,2,2026-06-04T16:13:18+0000,256,0.41,-0.47643104553222654,3.35872412443161,48
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step1000,1000,0,2026-06-04T16:15:31+0000,0,0.435,-0.21630580484867096,4.0972940772771835,0
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step1000,1000,0,2026-06-04T16:15:31+0000,4,0.46,-0.2633301603794098,4.050540951490402,1
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step1000,1000,0,2026-06-04T16:15:31+0000,16,0.445,-0.34086159110069275,4.0287074249982835,3
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step1000,1000,0,2026-06-04T16:15:31+0000,64,0.4,-0.3853900784254074,3.77665120780468,12
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step1000,1000,0,2026-06-04T16:15:31+0000,256,0.375,-0.5269949066638947,3.613736429810524,48
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step1000,1000,1,2026-06-04T16:17:43+0000,0,0.39,-0.42427180349826815,4.49076046526432,0
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step1000,1000,1,2026-06-04T16:17:43+0000,4,0.385,-0.419956146478653,4.437444462776184,1
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step1000,1000,1,2026-06-04T16:17:43+0000,16,0.375,-0.40651236653327943,4.229106051921844,3
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step1000,1000,1,2026-06-04T16:17:43+0000,64,0.365,-0.6184712445735931,4.151881053447723,12
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step1000,1000,1,2026-06-04T16:17:43+0000,256,0.305,-0.6274141532182693,4.034235972762108,48
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step1000,1000,2,2026-06-04T16:20:00+0000,0,0.435,-0.36982721865177154,4.291829204559326,0
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step1000,1000,2,2026-06-04T16:20:00+0000,4,0.42,-0.3923321050405502,4.228257936239243,1
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step1000,1000,2,2026-06-04T16:20:00+0000,16,0.395,-0.46210356295108795,4.18724205672741,3
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step1000,1000,2,2026-06-04T16:20:00+0000,64,0.38,-0.5829233312606812,3.8265893453359605,12
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step1000,1000,2,2026-06-04T16:20:00+0000,256,0.355,-0.7144765889644623,3.907754108905792,48
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step2000,2000,0,2026-06-04T16:22:17+0000,0,0.505,-0.08992970108985901,3.830487095117569,0
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step2000,2000,0,2026-06-04T16:22:17+0000,4,0.495,-0.14342571079730987,3.8017669993638994,1
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step2000,2000,0,2026-06-04T16:22:17+0000,16,0.485,-0.17187747359275818,3.7193390238285065,3
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step2000,2000,0,2026-06-04T16:22:17+0000,64,0.36,-0.526567896604538,3.739233090877533,12
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step2000,2000,0,2026-06-04T16:22:17+0000,256,0.31,-0.5808482748270035,3.6261500656604766,48
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step2000,2000,1,2026-06-04T16:24:28+0000,0,0.52,0.07493339717388153,3.6219031089544296,0
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step2000,2000,1,2026-06-04T16:24:28+0000,4,0.515,0.03280296385288239,3.588746595978737,1
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step2000,2000,1,2026-06-04T16:24:28+0000,16,0.475,-0.079114408493042,3.5545976054668427,3
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step2000,2000,1,2026-06-04T16:24:28+0000,64,0.43,-0.3235216099023819,3.570532725453377,12
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step2000,2000,1,2026-06-04T16:24:28+0000,256,0.37,-0.43238151252269746,3.606691627502441,48
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step2000,2000,2,2026-06-04T16:26:40+0000,0,0.545,0.09503904834389687,3.6649275015294553,0
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step2000,2000,2,2026-06-04T16:26:40+0000,4,0.54,0.07780991852283478,3.6494120216369628,1
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step2000,2000,2,2026-06-04T16:26:40+0000,16,0.5,-0.03623962819576263,3.6232461309432984,3
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step2000,2000,2,2026-06-04T16:26:40+0000,64,0.365,-0.3989662232995033,3.5566525128483772,12
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step2000,2000,2,2026-06-04T16:26:40+0000,256,0.34,-0.5639628881216049,3.6636507898569106,48
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step3000,3000,0,2026-06-04T16:28:58+0000,0,0.52,-0.026537405252456667,3.703973467350006,0
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step3000,3000,0,2026-06-04T16:28:58+0000,4,0.495,-0.06781969636678696,3.6742969068884848,1
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step3000,3000,0,2026-06-04T16:28:58+0000,16,0.495,-0.14054350018501283,3.6158022338151934,3
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step3000,3000,0,2026-06-04T16:28:58+0000,64,0.37,-0.5379015946388245,3.648054461479187,12
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step3000,3000,0,2026-06-04T16:28:58+0000,256,0.34,-0.5297515714168548,3.4860840934515,48
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step3000,3000,1,2026-06-04T16:31:15+0000,0,0.615,0.5351881012320518,3.25720697671175,0
