experiment_id,model,stage,step,seed,timestamp,poison_budget,probe_accuracy,probe_mean_margin,probe_mean_nll,poison_train_steps
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-07T10:36:46+0000,0,0.41,-0.25288272500038145,5.089542003870011,0
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-07T10:36:46+0000,4,0.425,-0.23164326548576356,4.574904216527939,1
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-07T10:36:46+0000,16,0.405,-0.3874118399620056,4.7359602165222165,3
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-07T10:36:46+0000,64,0.29,-0.8187018847465515,5.841307725906372,12
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-07T10:36:46+0000,256,0.31,-0.7143099820613861,5.113863618373871,48
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step0,0,1,2026-06-07T10:40:57+0000,0,0.48,-0.1918882179260254,4.5738851046562194,0
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step0,0,1,2026-06-07T10:40:57+0000,4,0.46,-0.2120098900794983,4.393787795305252,1
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step0,0,1,2026-06-07T10:40:57+0000,16,0.45,-0.2836554330587387,4.212034102082253,3
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step0,0,1,2026-06-07T10:40:57+0000,64,0.395,-0.505716918706894,4.727297149896621,12
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step0,0,1,2026-06-07T10:40:57+0000,256,0.33,-0.5404672938585281,4.4376914411783215,48
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step0,0,2,2026-06-07T10:44:42+0000,0,0.495,-0.035949997901916504,4.433163112401962,0
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step0,0,2,2026-06-07T10:44:42+0000,4,0.515,-0.059083330631256106,4.2865796828269955,1
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step0,0,2,2026-06-07T10:44:42+0000,16,0.48,-0.1405051738023758,4.135004768967629,3
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step0,0,2,2026-06-07T10:44:42+0000,64,0.335,-0.4946478354930878,4.670118650197983,12
