step_num,indicator,module_family,mean_value,n
1,alpha_tail_frac_0.2,attention,5.723881520736401,32
1,alpha_tail_frac_0.2,mlp,7.988805634304497,32
1,alpha_tail_frac_0.3,attention,4.062144851701977,32
1,alpha_tail_frac_0.3,mlp,5.776936426554972,32
1,alpha_tail_frac_0.5,attention,2.478817540964798,32
1,alpha_tail_frac_0.5,mlp,3.675171461708265,32
1,cols,attention,2048.0,32
1,cols,mlp,5120.0,32
1,effective_rank,attention,1800.7405458657934,32
1,effective_rank,mlp,1978.843246057257,32
1,frobenius_norm,attention,27.622429434303434,32
1,frobenius_norm,mlp,34.28590325681798,32
1,mean_singular_value,attention,0.5770207863189261,32
1,mean_singular_value,mlp,0.7331461650726396,32
1,median_eigenvalue,attention,0.5381788391818995,32
1,median_eigenvalue,mlp,0.7618345488702155,32
1,mp_edge,attention,27.13327378048496,32
1,mp_edge,mlp,1.8712990278745962,32
1,mp_outliers_x1,attention,0.0625,32
1,mp_outliers_x1,mlp,0.09375,32
1,mp_outliers_x1.1,attention,0.0,32
1,mp_outliers_x1.1,mlp,0.0,32
1,mp_outliers_x1.25,attention,0.0,32
1,mp_outliers_x1.25,mlp,0.0,32
1,nuclear_norm,attention,1181.7385703811606,32
1,nuclear_norm,mlp,1501.483346068766,32
1,num_singular_values,attention,2048.0,32
1,num_singular_values,mlp,2048.0,32
1,rows,attention,4096.0,32
1,rows,mlp,5120.0,32
1,spectral_norm,attention,0.9876545877195895,32
1,spectral_norm,mlp,1.1343989660963416,32
1,stable_rank,attention,669.8974076029801,32
1,stable_rank,mlp,913.341921334126,32
1,subspace_stability_topk,attention,0.9995976183563471,32
1,subspace_stability_topk,mlp,1.0002636276185513,32
2,alpha_tail_frac_0.2,attention,5.723803279532212,32
2,alpha_tail_frac_0.2,mlp,7.9885030827370915,32
2,alpha_tail_frac_0.3,attention,4.062205455845935,32
2,alpha_tail_frac_0.3,mlp,5.776928970080092,32
2,alpha_tail_frac_0.5,attention,2.478823131083512,32
2,alpha_tail_frac_0.5,mlp,3.6751912928237633,32
2,cols,attention,2048.0,32
2,cols,mlp,5120.0,32
2,effective_rank,attention,1800.7408681984916,32
2,effective_rank,mlp,1978.8435032402585,32
2,frobenius_norm,attention,27.622546070049836,32
2,frobenius_norm,mlp,34.28590967162079,32
